estudiante,num,Clave,Profesor,tiempoOffClass,materiaDificil,profesorDificil,acreditada
estu_0001,32,IEC981200,ARELLANO FLORES JORGE ISAAC Teams Lunes,0,1,1,1
estu_0001,33,IEC981300,BRITO HOLGUIN HUGO JAVIER,0,1,0,1
estu_0001,34,IEC981900,ROSALES MORALES NOE RAMON,0,1,0,1
estu_0001,35,IEC986316,MONTOYA MOYA DAVID Teams Lunes,1,0,0,1
estu_0001,36,IEC986416,GONZALEZ CAMPOS JOSE SAUL,1,0,0,1
estu_0001,37,IEC986516,BRETADO RETANA JOSE HERIBERTO,0,0,0,0
estu_0001,38,IEC986616,PADILLA FRANCO JAVITT HIGMAR NAHITT,1,0,0,1
estu_0001,39,IEC986716,BRETADO RETANA JOSE HERIBERTO,1,0,0,1
estu_0001,40,IEC986816,CRUZ SANCHEZ VIANEY GUADALUPE,1,0,0,1
estu_0001,41,IEC986916,MORALES ROCHA VICTOR MANUEL Campus Virtual,0,1,0,1
estu_0001,42,IEC989117,DOMINGUEZ GUERRERO JOSUE Teams Lunes,0,0,0,1
estu_0001,43,IEC989217,RIVERA ZARATE GILBERTO Teams Jueves,0,1,0,0
estu_0001,44,IIM230196,ESQUIVIAS VARELA JAVIER ANDRES,0,1,0,1
estu_0001,45,IIM241296,CONTRERAS ACOSTA JOSE ISRAEL,1,1,1,1
estu_0001,46,IIM340396,DUARTE DIAZ RICARDO,0,0,0,1
estu_0001,47,IEC320896,ROSALES MORALES NOE RAMON,0,1,1,0
estu_0001,48,IEC361196,GONZALEZ CAMPOS JOSE SAUL,0,1,0,0
estu_0001,49,IEC981400,TENANGO PIRIN OSCAR,0,0,0,1
estu_0001,50,IEC982000,RODRIGUEZ ESPARZA MANUEL ALBERTO,1,0,0,1
estu_0001,51,IEC983100,PARRA REYES GINA ANTONIETA,0,1,1,1
estu_0001,52,IEC985515,RIVAS FLORES CESAR ALONSO,1,1,0,1
estu_0001,53,IEC992020,HERNANDEZ RIVAS ADRIAN,0,0,0,1
estu_0001,54,IEC992120,SANTOS BERUMEN LUIS ALBERTO,1,0,1,1
estu_0002,55,CBE100296,LLANAS RODRIGUEZ PAVEL GERARDO,0,1,0,1
estu_0002,56,CBE100396,CHAVEZ VILLA SILVIA,0,0,0,1
estu_0002,57,CBE100496,JIMENEZ NAVA VICTOR HUGO,0,0,0,1
estu_0002,58,CBE100696,CASTRO MORALES HECTOR ABRAHAM,0,0,0,1
estu_0002,59,CBE100796,OLIVARES RODRIGUEZ RICARDO,0,1,0,1
estu_0002,60,CBE100896,LLANAS RODRIGUEZ PAVEL GERARDO,0,0,0,1
estu_0002,61,CBE120196,RUIZ ORTEGA GABRIELA ALEJANDRA,0,0,0,0
estu_0002,62,CBE120296,MORALES JAQUEZ SONIA ARLYN,0,0,0,1
estu_0002,63,CBE120396,TORRES GARCIA ALECIA,1,1,0,0
estu_0002,64,CBE122396,BOBADILLA RAMOS CHRISTIAN,1,0,0,1
estu_0002,65,CBE150196,HERNANDEZ ARRATIA BERENICE CRISTINA,0,1,0,1
estu_0002,66,HUM215600,ROCHA MORELOS DANIELA ORALIA,0,1,0,1
estu_0002,67,HUM215700,RIVAS VALLES GILDARDO,1,0,1,1
estu_0002,68,HUM215800,RODRIGUEZ RAMIREZ MIGUEL GONZALO,1,1,1,1
estu_0002,69,HUM993614,SALAS MARTINEZ ANTONIO,0,1,0,1
estu_0002,70,HUM993714,CASTRO HERRERA MARTHA PATRICIA,0,1,1,1
estu_0002,71,HUM993814,HERNANDEZ RIVAS ADRIAN Teams Jueves,1,0,0,1
estu_0002,72,IEC110796,SANTIAGO RAMIREZ EVERARDO,1,0,0,1
estu_0002,73,IEC130196,GARCIA CHAPARRO DAVID,1,0,0,1
estu_0002,74,IEC210896,OLMOS SANCHEZ KARLA MIROSLAVA,1,0,0,1
estu_0002,75,IEC220196,CASTRO VASQUEZ ARNULFO,1,0,1,1
estu_0002,76,IEC224309,MIRELES JR. GARCIA JOSE,0,0,0,1
estu_0002,77,IEC230296,LUJAN MALDONADO SERGIO,0,0,1,0
estu_0002,78,IEC240196,CASTILLO LUNA EDUARDO,0,1,1,0
estu_0002,79,IEC260196,MEZA PRIETO ELIZABETH,1,0,1,1
estu_0002,80,IEC320796,SANTOS BERUMEN LUIS ALBERTO,0,0,0,0
estu_0002,81,IEC340296,CASTILLO LUNA EDUARDO,0,0,0,1
estu_0002,82,IEC361096,GONZALEZ CAMPOS JOSE SAUL,0,1,1,0
estu_0002,83,IEC361296,ROSALES MORALES NOE RAMON,0,0,0,0
estu_0002,84,IEC980800,BRITO HOLGUIN HUGO JAVIER,0,0,1,0
estu_0002,85,IEC980900,"ROBLEDO PORTILLO IVONNE HAYDEE Do - Campus Virtual, Ju -",0,0,0,1
estu_0002,86,IEC981200,ARELLANO FLORES JORGE ISAAC Teams Lunes,1,1,1,0
estu_0002,87,IEC981300,BRITO HOLGUIN HUGO JAVIER,0,0,1,1
estu_0002,88,IEC981900,ROSALES MORALES NOE RAMON,1,0,0,1
estu_0002,89,IEC986316,MONTOYA MOYA DAVID Teams Martes,1,0,1,0
estu_0002,90,IEC986416,GONZALEZ CAMPOS JOSE SAUL,0,1,0,0
estu_0002,91,IEC986516,"OLMOS SANCHEZ KARLA MIROSLAVA SÃ¡ - Campus Virtual, Vi -",1,0,1,1
estu_0002,92,IEC986616,CRUZ SANCHEZ VIANEY GUADALUPE,1,0,0,1
estu_0002,93,IEC986716,OCHOA DOMINGUEZ HUMBERTO DE JESUS,0,0,1,1
estu_0002,94,IEC986816,CRUZ SANCHEZ VIANEY GUADALUPE,0,0,1,1
estu_0002,95,IEC986916,MORALES ROCHA VICTOR MANUEL Campus Virtual,0,0,0,1
estu_0002,96,IEC989117,DOMINGUEZ GUERRERO JOSUE Teams Lunes,0,0,1,0
estu_0002,97,IEC989217,RIVERA ZARATE GILBERTO Teams Jueves,0,0,0,0
estu_0002,98,IIM230196,ESQUIVIAS VARELA JAVIER ANDRES,0,1,0,0
estu_0002,99,IIM241296,SALAS MARTINEZ ANTONIO,0,1,0,1
estu_0002,100,IIM340396,RODRIGUEZ HERNANDEZ FRANCISCO,0,0,1,0
estu_0002,101,IEC320896,ROSALES MORALES NOE RAMON,0,0,0,1
estu_0002,102,IEC361196,GONZALEZ CAMPOS JOSE SAUL,0,0,0,1
estu_0002,103,IEC981400,AVILA ALVAREZ FRANCISCO,1,0,0,0
estu_0002,104,IEC982000,VERGARA VILLEGAS OSSLAN OSIRIS,1,1,0,1
estu_0002,105,IEC983100,RODRIGUEZ ESPARZA MANUEL ALBERTO,1,0,0,1
estu_0002,106,IEC985515,RIVAS FLORES CESAR ALONSO,0,0,0,0
estu_0002,107,IEC992020,HERNANDEZ RIVAS ADRIAN,0,1,0,0
estu_0002,108,IEC992120,SANTOS BERUMEN LUIS ALBERTO,1,1,0,1
estu_0003,109,CBE100296,RAMIREZ SANDOVAL OSIEL,0,0,0,1
estu_0003,110,CBE100396,BARRANDEY ADRIAN DAVID,0,0,1,0
estu_0003,111,CBE100496,HASSE ARMENGOL ISAAC,1,0,0,1
estu_0003,112,CBE100696,RASCON BELTRAN BLANCA ESTELA,0,1,0,0
estu_0003,113,CBE100796,VALDEZ SAENZ LORENZA CARMEN,0,0,0,1
estu_0003,114,CBE100896,TORRES GARCIA MA DE LOS ANGELES Campus Virtual,1,0,0,1
estu_0003,115,CBE120196,RODRIGUEZ RAMIREZ MIGUEL GONZALO,0,0,1,0
estu_0003,116,CBE120296,MORALES JAQUEZ SONIA ARLYN,1,0,1,1
estu_0003,117,CBE120396,REYNA ALVARADO JORGE,1,1,0,0
estu_0003,118,CBE122396,GOMEZ GARCIA MARIA MAGDALENA,0,0,0,1
estu_0003,119,CBE150196,CHAVEZ GONZALEZ KARLA DENISSE,1,0,0,1
estu_0003,120,HUM215600,VARGAS MONTOYA SERGIO MISAEL,0,1,0,1
estu_0003,121,HUM215700,RAMOS MURILLO MANUEL ANTONIO,1,0,0,0
estu_0003,122,HUM215800,CHAVEZ MONTELONGO REYNA PATRICIA,0,0,0,1
estu_0003,123,HUM993614,VAZQUEZ ZUBIATE LIZETH,1,0,0,1
estu_0003,124,HUM993714,DAVIS ORTIZ ALBERTO,1,1,0,0
estu_0003,125,HUM993814,ESPARZA SANCHEZ ERNESTOR,1,0,0,1
estu_0003,126,IEC110796,OCHOA DOMINGUEZ HUMBERTO DE JESUS,1,1,0,0
estu_0003,127,IEC130196,FLORES CAMACHO ITZEL ADRIANA,1,0,0,1
estu_0003,128,IEC210896,PARROQUIN AMAYA PATRICIA CRISTINA,1,0,0,1
estu_0003,129,IEC220196,ARELLANO FLORES JORGE ISAAC Teams Martes,0,0,0,1
estu_0003,130,IEC224309,MIRELES JR. GARCIA JOSE,0,0,0,1
estu_0003,131,IEC230296,GUTIERREZ CASAS EFREN DAVID Campus Virtual,0,1,1,0
estu_0003,132,IEC240196,MENDOZA CARREON ALEJANDRA,0,0,0,1
estu_0003,133,IEC260196,HERNANDEZ ROMO MANUEL GERARDO,0,0,1,1
estu_0003,134,IEC320796,SANTOS BERUMEN LUIS ALBERTO,1,0,0,1
estu_0003,135,IEC340296,CASTILLO LUNA EDUARDO,1,0,1,0
estu_0003,136,IEC361096,GONZALEZ CAMPOS JOSE SAUL,1,1,0,0
estu_0003,137,IEC361296,ROSALES MORALES NOE RAMON,0,0,1,1
estu_0003,138,IEC980800,ACOSTA FAVELA JOSE ALFREDO,0,0,0,0
estu_0003,139,IEC980900,ROBLEDO PORTILLO IVONNE HAYDEE Ma -,0,0,1,0
estu_0003,140,IEC981200,CASTRO VASQUEZ ARNULFO,0,0,0,0
estu_0003,141,IEC981300,BRITO HOLGUIN HUGO JAVIER,0,0,1,1
estu_0003,142,IEC981900,ROSALES MORALES NOE RAMON,0,0,0,1
estu_0003,143,IEC986316,MONTOYA MOYA DAVID Teams Lunes,1,0,0,0
estu_0003,144,IEC986416,GONZALEZ CAMPOS JOSE SAUL,1,1,1,1
estu_0003,145,IEC986516,"OLMOS SANCHEZ KARLA MIROSLAVA SÃ¡ - Campus Virtual, Vi -",1,1,1,1
estu_0003,146,IEC986616,PADILLA FRANCO JAVITT HIGMAR NAHITT,0,0,1,1
estu_0003,147,IEC986716,OCHOA DOMINGUEZ HUMBERTO DE JESUS,0,0,1,1
estu_0003,148,IEC986816,CRUZ SANCHEZ VIANEY GUADALUPE,1,0,1,1
estu_0003,149,IEC986916,GUZMAN SANABRIA ADRIAN,1,1,1,0
estu_0003,150,IEC989117,DOMINGUEZ GUERRERO JOSUE Teams Lunes,1,0,0,1
estu_0003,151,IEC989217,RIVERA ZARATE GILBERTO Teams Jueves,0,1,1,1
estu_0003,152,IIM230196,RODRIGUEZ BORBON MANUEL IVAN,0,0,0,1
estu_0003,153,IIM241296,ALVAREZ ARGUELLES MARIELA,0,0,0,1
estu_0003,154,IIM340396,RODRIGUEZ HERNANDEZ FRANCISCO,1,1,0,0
estu_0003,155,IEC320896,ROSALES MORALES NOE RAMON,0,1,0,1
estu_0003,156,IEC361196,GONZALEZ CAMPOS JOSE SAUL,0,0,1,1
estu_0003,157,IEC981400,MARQUEZ GARCIA SAMANTHA JAQUELINE,1,0,1,1
estu_0003,158,IEC982000,ARAGON CHACON FELIX MARTIN,0,0,0,1
estu_0003,159,IEC983100,CHAVIRA HEIDY CECILIA,1,1,0,1
estu_0003,160,IEC985515,RIVAS FLORES CESAR ALONSO,0,0,0,1
estu_0003,161,IEC992020,HERNANDEZ RIVAS ADRIAN,0,1,0,1
estu_0003,162,IEC992120,SANTOS BERUMEN LUIS ALBERTO,0,0,0,1
estu_0004,163,CBE100296,SOSA RINCON DIANA ELENA,0,0,0,1
estu_0004,164,CBE100396,GODOY MENDOZA JOAQUIN,0,0,0,1
estu_0004,165,CBE100496,ESPINOSA ALMEYDA YOANH,0,1,1,1
estu_0004,166,CBE100696,GARCIA JAUREGUI MARISELA,0,0,0,1
estu_0004,167,CBE100796,OLIVARES RODRIGUEZ RICARDO,1,0,0,0
estu_0004,168,CBE100896,CHAVEZ ESCUDERO MYRIAM,1,1,0,1
estu_0004,169,CBE120196,RODRIGUEZ RAMIREZ MIGUEL GONZALO,0,0,0,1
estu_0004,170,CBE120296,LARA PEREZ EUNICE SARAI,0,0,0,1
estu_0004,171,CBE120396,VAZQUEZ ZUBIATE LIZETH,1,1,1,0
estu_0004,172,CBE122396,GARDEA MEDRANO DAVID FRANCISCO,0,0,0,1
estu_0004,173,CBE150196,CHAVARRIA GAYTAN MARIA CONCEPCION,0,1,1,0
estu_0004,174,HUM215600,REYES BLAS HORTENSIA,1,0,1,1
estu_0004,175,HUM215700,OCHOA DOMINGUEZ HUMBERTO DE JESUS,1,0,0,0
estu_0004,176,HUM215800,VILLAGOMEZ AVEYTIA LUCILA,0,0,0,1
estu_0004,177,HUM993614,GASPAR DE ALBA DIEGUEZ ARCELIA GUILLERMINA FERNANDA,0,1,1,0
estu_0004,178,HUM993714,JIMENEZ PEREZ ABIMAEL Teams Viernes,1,1,0,0
estu_0004,179,HUM993814,IBAÃEZ HERNANDEZ OSCAR FIDENCIO,1,1,1,1
estu_0004,180,IEC110796,DOMINGUEZ GUERRERO JOSUE,0,1,1,1
estu_0004,181,IEC130196,RASCON MADRIGAL LIDIA HORTENCIA,0,0,0,1
estu_0004,182,IEC210896,OLMOS SANCHEZ KARLA MIROSLAVA,0,1,1,1
estu_0004,183,IEC220196,ARELLANO FLORES JORGE ISAAC Teams Martes,1,0,1,0
estu_0004,184,IEC224309,MIRELES JR. GARCIA JOSE,0,0,0,1
estu_0004,185,IEC230296,GUTIERREZ CASAS EFREN DAVID Campus Virtual,1,1,0,0
estu_0004,186,IEC240196,CASTILLO LUNA EDUARDO,0,1,1,1
estu_0004,187,IEC260196,HERNANDEZ ROMO MANUEL GERARDO,1,0,0,1
estu_0004,188,IEC320796,SANTOS BERUMEN LUIS ALBERTO,1,1,0,1
estu_0004,189,IEC340296,CASTILLO LUNA EDUARDO,1,1,0,1
estu_0004,190,IEC361096,GONZALEZ CAMPOS JOSE SAUL,1,0,0,1
estu_0004,191,IEC361296,ROSALES MORALES NOE RAMON,1,0,0,0
estu_0004,192,IEC980800,ACOSTA FAVELA JOSE ALFREDO,1,0,1,1
estu_0004,193,IEC980900,URUCHURTU MORENO DAVID ABSALON,0,1,0,1
estu_0004,194,IEC981200,CASTRO VASQUEZ ARNULFO,1,0,1,0
estu_0004,195,IEC981300,BRITO HOLGUIN HUGO JAVIER,0,0,1,1
estu_0004,196,IEC981900,ROSALES MORALES NOE RAMON,0,0,1,1
estu_0004,197,IEC986316,MONTOYA MOYA DAVID Teams Martes,1,0,0,1
estu_0004,198,IEC986416,GONZALEZ CAMPOS JOSE SAUL,1,1,1,0
estu_0004,199,IEC986516,"OLMOS SANCHEZ KARLA MIROSLAVA SÃ¡ - Campus Virtual, Vi -",0,1,1,0
estu_0004,200,IEC986616,CRUZ SANCHEZ VIANEY GUADALUPE,1,1,0,0
estu_0004,201,IEC986716,OCHOA DOMINGUEZ HUMBERTO DE JESUS,0,0,0,1
estu_0004,202,IEC986816,BRITO HOLGUIN HUGO JAVIER,1,0,0,1
estu_0004,203,IEC986916,GUZMAN SANABRIA ADRIAN,0,0,0,0
estu_0004,204,IEC989117,DOMINGUEZ GUERRERO JOSUE Teams Lunes,0,0,0,1
estu_0004,205,IEC989217,RIVERA ZARATE GILBERTO Teams Jueves,0,0,0,1
estu_0004,206,IIM230196,ESQUIVIAS VARELA JAVIER ANDRES,0,0,0,1
estu_0004,207,IIM241296,ALVAREZ ARGUELLES MARIELA,1,0,0,1
estu_0004,208,IIM340396,RODRIGUEZ HERNANDEZ FRANCISCO,0,1,0,1
estu_0004,209,IEC320896,ROSALES MORALES NOE RAMON,1,1,0,1
estu_0004,210,IEC361196,GONZALEZ CAMPOS JOSE SAUL,1,0,0,1
estu_0004,211,IEC981400,MEJIA MUÃOZ JOSE MANUEL Campus Virtual,0,0,1,0
estu_0004,212,IEC982000,ZUÃIGA AGUILAR ESMERALDA SARAI,1,0,0,1
estu_0004,213,IEC983100,GONZALEZ CAMPOS JOSE SAUL,0,0,0,1
estu_0004,214,IEC985515,RIVAS FLORES CESAR ALONSO,0,0,1,1
estu_0004,215,IEC992020,HERNANDEZ RIVAS ADRIAN,1,0,1,1
estu_0004,216,IEC992120,SANTOS BERUMEN LUIS ALBERTO,0,0,0,1
estu_0005,217,CBE100296,DEVORA DELGADO ANA LILIA,0,0,1,1
estu_0005,218,CBE100396,ROYVAL BUSTILLOS LIDIA JULIETA,0,1,0,0
estu_0005,219,CBE100496,GALLARDO AGUILAR ROCIO ELENA,0,0,0,1
estu_0005,220,CBE100696,MORA DE LA CRUZ DANIEL,0,0,0,1
estu_0005,221,CBE100796,OLIVARES RODRIGUEZ RICARDO,0,0,1,0
estu_0005,222,CBE100896,GALLARDO AGUILAR ROCIO ELENA,1,0,0,1
estu_0005,223,CBE120196,DIAZ REZA JOSE ROBERTO,0,0,0,1
estu_0005,224,CBE120296,ALMAZO PEREZ DIEGO MOISES,1,0,0,0
estu_0005,225,CBE120396,TORRES GARCIA ALECIA,0,1,0,0
estu_0005,226,CBE122396,TORRES SAENZ IVONNE,1,0,0,1
estu_0005,227,CBE150196,CHAVARRIA GAYTAN MARIA CONCEPCION,1,0,0,1
estu_0005,228,HUM215600,LUVIANO CRUZ DAVID,1,1,1,1
estu_0005,229,HUM215700,MENDOZA CARREON ALEJANDRA,1,0,0,1
estu_0005,230,HUM215800,RODRIGUEZ ESPARZA MANUEL ALBERTO,0,0,1,1
estu_0005,231,HUM993614,PEREZ RUIZ ELI RAFAEL,0,1,0,1
estu_0005,232,HUM993714,DUARTE DIAZ RICARDO,0,1,1,1
estu_0005,233,HUM993814,HERNANDEZ MINJARES CINTHYA MELISSA,1,0,0,1
estu_0005,234,IEC110796,PALACIOS DIAZ FERNANDO,0,1,1,1
estu_0005,235,IEC130196,VALENZUELA MORENO ALDO URIEL,0,0,0,1
estu_0005,236,IEC210896,PARROQUIN AMAYA PATRICIA CRISTINA,0,1,1,1
estu_0005,237,IEC220196,CASTRO VASQUEZ ARNULFO,0,0,1,0
estu_0005,238,IEC224309,LOYA CARAVEO HECTOR MANUEL,0,0,1,1
estu_0005,239,IEC230296,GUTIERREZ CASAS EFREN DAVID Campus Virtual,0,0,0,1
estu_0005,240,IEC240196,MENDOZA CARREON ALEJANDRA,0,0,0,1
estu_0005,241,IEC260196,HERNANDEZ ROMO MANUEL GERARDO,0,0,0,0
estu_0005,242,IEC320796,SANTOS BERUMEN LUIS ALBERTO,1,1,0,0
estu_0005,243,IEC340296,CASTILLO LUNA EDUARDO,1,0,0,1
estu_0005,244,IEC361096,ACOSTA GUADARRAMA JUAN CARLOS,1,0,1,1
estu_0005,245,IEC361296,ROSALES MORALES NOE RAMON,0,0,0,1
estu_0005,246,IEC980800,ACOSTA FAVELA JOSE ALFREDO,1,1,0,1
estu_0005,247,IEC980900,"ACOSTA FAVELA JOSE ALFREDO Ju - , Ma -",0,1,0,1
estu_0005,248,IEC981200,ARELLANO FLORES JORGE ISAAC Teams Lunes,0,1,0,1
estu_0005,249,IEC981300,BRITO HOLGUIN HUGO JAVIER,0,0,0,1
estu_0005,250,IEC981900,ROSALES MORALES NOE RAMON,0,0,0,1
estu_0005,251,IEC986316,MONTOYA MOYA DAVID Teams Martes,1,0,1,1
estu_0005,252,IEC986416,GONZALEZ CAMPOS JOSE SAUL,1,1,0,0
estu_0005,253,IEC986516,BRETADO RETANA JOSE HERIBERTO,0,1,0,1
estu_0005,254,IEC986616,PADILLA FRANCO JAVITT HIGMAR NAHITT,1,0,0,1
estu_0005,255,IEC986716,OCHOA DOMINGUEZ HUMBERTO DE JESUS,0,1,1,0
estu_0005,256,IEC986816,CRUZ SANCHEZ VIANEY GUADALUPE,0,0,1,1
estu_0005,257,IEC986916,GUZMAN SANABRIA ADRIAN,0,0,0,1
estu_0005,258,IEC989117,DOMINGUEZ GUERRERO JOSUE Teams Lunes,0,0,1,1
estu_0005,259,IEC989217,RIVERA ZARATE GILBERTO Teams Jueves,0,0,0,1
estu_0005,260,IIM230196,OCHOA ORTIZ CARLOS ALBERTO,0,0,0,1
estu_0005,261,IIM241296,ALVAREZ ARGUELLES MARIELA,0,0,0,1
estu_0005,262,IIM340396,RODRIGUEZ HERNANDEZ FRANCISCO,0,1,0,1
estu_0005,263,IEC320896,ROSALES MORALES NOE RAMON,1,1,1,0
estu_0005,264,IEC361196,GONZALEZ CAMPOS JOSE SAUL,0,0,0,1
estu_0005,265,IEC981400,CONTRERAS ACOSTA JOSE ISRAEL,0,0,0,1
estu_0005,266,IEC982000,CASTRO RODRIGUEZ MARIA GUADALUPE,0,0,1,0
estu_0005,267,IEC983100,CLEMENTE MIRAFUENTES CHRISTIAN MARISOL,0,0,1,1
estu_0005,268,IEC985515,RIVAS FLORES CESAR ALONSO,0,0,0,1
estu_0005,269,IEC992020,HERNANDEZ RIVAS ADRIAN,1,0,0,1
estu_0005,270,IEC992120,SANTOS BERUMEN LUIS ALBERTO,0,0,0,1
estu_0006,271,CBE100296,SOSA RINCON DIANA ELENA,1,0,1,1
estu_0006,272,CBE100396,HERNANDEZ MINJARES CINTHYA MELISSA,1,0,1,1
estu_0006,273,CBE100496,TORRES SAENZ IVONNE,0,1,1,1
estu_0006,274,CBE100696,CASTRO MORALES HECTOR ABRAHAM,1,0,0,1
estu_0006,275,CBE100796,OLVERA LOPEZ SONIA AZENETH,0,0,0,1
estu_0006,276,CBE100896,POLANCO GONZALEZ JAVIER,1,0,1,1
estu_0006,277,CBE120196,OLMOS ZAMARRIPA EMMA EDITH,0,0,0,1
estu_0006,278,CBE120296,MORALES JAQUEZ SONIA ARLYN,0,0,1,1
estu_0006,279,CBE120396,LEYVA AGUILAR JESUS ELIAS,0,0,0,1
estu_0006,280,CBE122396,FLORES GARCIA SERGIO,1,0,0,1
estu_0006,281,CBE150196,HERNANDEZ ARRATIA BERENICE CRISTINA,0,1,0,1
estu_0006,282,HUM215600,CRUZ SANCHEZ VIANEY GUADALUPE,0,1,1,0
estu_0006,283,HUM215700,REYNA ALVARADO JORGE,0,0,1,1
estu_0006,284,HUM215800,ORTIZ MUÃOZ DIANA YAZIEL,0,1,0,1
estu_0006,285,HUM993614,CORNEJO MONROY DELFINO,0,0,0,1
estu_0006,286,HUM993714,CARVAJAL CARLOS IVAN,1,1,0,1
estu_0006,287,HUM993814,BARRAZA CONTRERAS JESUS MANUEL,1,1,1,0
estu_0006,288,IEC110796,PADILLA FRANCO JAVITT HIGMAR NAHITT,1,0,0,1
estu_0006,289,IEC130196,VALENZUELA MORENO ALDO URIEL,0,1,0,1
estu_0006,290,IEC210896,PARROQUIN AMAYA PATRICIA CRISTINA,0,0,0,1
estu_0006,291,IEC220196,CASTRO VASQUEZ ARNULFO,1,0,0,1
estu_0006,292,IEC224309,LOYA CARAVEO HECTOR MANUEL,1,1,0,0
estu_0006,293,IEC230296,LUJAN MALDONADO SERGIO,1,1,0,1
estu_0006,294,IEC240196,CASTILLO LUNA EDUARDO,1,0,1,1
estu_0006,295,IEC260196,HERNANDEZ ROMO MANUEL GERARDO,0,0,1,1
estu_0006,296,IEC320796,SANTOS BERUMEN LUIS ALBERTO,0,1,1,0
estu_0006,297,IEC340296,CASTILLO LUNA EDUARDO,1,0,0,1
estu_0006,298,IEC361096,ACOSTA GUADARRAMA JUAN CARLOS,0,1,0,0
estu_0006,299,IEC361296,ROSALES MORALES NOE RAMON,1,0,0,1
estu_0006,300,IEC980800,SANTOS BERUMEN LUIS ALBERTO,1,0,0,1
estu_0006,301,IEC980900,"ROBLEDO PORTILLO IVONNE HAYDEE Do - Campus Virtual, Ju -",0,1,1,0
estu_0006,302,IEC981200,ARELLANO FLORES JORGE ISAAC Teams Lunes,0,0,1,1
estu_0006,303,IEC981300,BRITO HOLGUIN HUGO JAVIER,0,0,0,1
estu_0006,304,IEC981900,ROSALES MORALES NOE RAMON,1,1,0,0
estu_0006,305,IEC986316,MONTOYA MOYA DAVID Teams Lunes,0,0,1,1
estu_0006,306,IEC986416,GONZALEZ CAMPOS JOSE SAUL,0,0,1,1
estu_0006,307,IEC986516,BRETADO RETANA JOSE HERIBERTO,0,0,1,1
estu_0006,308,IEC986616,PARROQUIN AMAYA PATRICIA CRISTINA,0,0,1,1
estu_0006,309,IEC986716,BRETADO RETANA JOSE HERIBERTO,0,0,0,1
estu_0006,310,IEC986816,BRITO HOLGUIN HUGO JAVIER,1,0,0,1
estu_0006,311,IEC986916,GUZMAN SANABRIA ADRIAN,1,1,0,0
estu_0006,312,IEC989117,RODAS OSOLLO JORGE ENRIQUE Teams Lunes,0,1,1,0
estu_0006,313,IEC989217,HERNANDEZ HERNANDEZ JESUS ISRAEL Teams Lunes,1,0,0,1
estu_0006,314,IIM230196,GARCIA RAMIREZ LUZ ELENA,1,0,1,1
